Id_parada,X,Y
215,21.889426,-102.289923
216,21.887009,-102.29309
217,21.885809,-102.294538
218,21.885319,-102.29661
219,21.886147,-102.298381
220,21.886658,-102.299801
221,21.886739,-102.301894
222,21.886746,-102.304705
223,21.887005,-102.304747
224,21.890159,-102.306778
225,21.891983,-102.307678
226,21.894042,-102.309502
227,21.894002,-102.309492
228,21.894804,-102.311377
229,21.893339,-102.312505
230,21.890526,-102.312768
231,21.887522,-102.312672
232,21.882855,-102.312654
233,21.880836,-102.3127
234,21.878129,-102.312381
235,21.875305,-102.312349
236,21.870948,-102.311256
237,21.867321,-102.309405
238,21.86579,-102.31052
239,21.862313,-102.312512
240,21.860289,-102.313641
241,21.858727,-102.315339
242,21.854096,-102.317649
243,21.852198,-102.318294
244,21.848917,-102.317455
246,21.969725,-102.345192
247,21.967629,-102.343831
248,21.966358,-102.342251
249,21.965921,-102.343305
250,21.926504,-102.32445
251,21.961357,-102.345916
252,21.959284,-102.343872
253,21.95803,-102.341057
254,21.955966,-102.342593
255,21.952799,-102.346092
256,21.949775,-102.348466
257,21.949076,-102.348664
258,21.949539,-102.350263
259,21.951435,-102.347776
260,21.952321,-102.345019
261,21.949126,-102.343779
262,21.941329,-102.342401
263,21.940049,-102.34243
264,21.928982,-102.339781
265,21.92531,-102.337853
266,21.92105,-102.335939
267,21.914603,-102.328261
268,21.910047,-102.328258
269,21.910022,-102.321645
270,21.90974,-102.318954
271,21.904745,-102.316177
272,21.902504,-102.315846
273,21.898176,-102.312813
274,21.895862,-102.31167
275,21.893034,-102.309109
276,21.890147,-102.304678
277,21.886376,-102.304884
278,21.885851,-102.302972
279,21.88569,-102.301684
280,21.883861,-102.29886
281,21.883698,-102.297128
282,21.884564,-102.293883
283,21.885345,-102.292018
284,21.886304,-102.289859
285,21.886946,-102.287656
286,21.887425,-102.285792
287,21.887546,-102.283743
288,21.885575,-102.283039
289,21.885625,-102.283028
290,21.883603,-102.282601
291,21.880935,-102.28191
292,21.878513,-102.281503
293,21.876045,-102.281598
294,21.87128,-102.281876
295,21.867706,-102.281756
296,21.865338,-102.282302
297,21.863122,-102.28282
298,21.859421,-102.282638
299,21.857336,-102.282948
300,21.853152,-102.282116
301,21.851403,-102.281832
302,21.85164,-102.281852
303,21.85162,-102.281873
304,21.845512,-102.280851
305,21.839055,-102.280596
306,21.83626,-102.28011
307,21.835384,-102.282404
308,21.83151,-102.278796
309,21.83156,-102.278818
310,21.835191,-102.288015
311,21.83572,-102.285062
312,21.835414,-102.284268
313,21.836663,-102.28071
314,21.838833,-102.280094
315,21.841756,-102.28006
